indice_tiempo,vacunos_cabezas,vacunos_toneladas,ovinos_cabezas,porcinos_cabezas,porcinos_toneladas,aves_cabezas,aves_toneladas
1980-01-01,1214174.0,,,199369.0,,,
1980-02-01,1131932.0,,,167072.0,,,
1980-03-01,1172202.0,,,189063.0,,,
1980-04-01,1165997.0,,,192268.0,,,
1980-05-01,1168835.0,,,181469.0,,,
1980-06-01,1070184.0,,,174511.0,,,
1980-07-01,1175414.0,,,212396.0,,,
1980-08-01,1079374.0,,,194332.0,,,
1980-09-01,1149710.0,,,223195.0,,,
1980-10-01,1152313.0,,,213736.0,,,
1980-11-01,1091288.0,,,201865.0,,,
1980-12-01,1259073.0,,,210379.0,,,
1981-01-01,1145988.0,,,172266.0,,8744.0,
1981-02-01,1100071.0,,,159823.0,,8745.0,
1981-03-01,1306508.0,,,195745.0,,9924.0,
1981-04-01,1301459.0,,,170062.0,,10283.0,
1981-05-01,1273451.0,,,173352.0,,9773.0,
1981-06-01,1324364.0,,,190784.0,,9940.0,
1981-07-01,1338243.0,,,183342.0,,10253.0,
1981-08-01,1185581.0,,,201064.0,,9450.0,
1981-09-01,1191823.0,,,217501.0,,9677.0,
1981-10-01,1220387.0,,,213224.0,,9844.0,
1981-11-01,1121893.0,,,195859.0,,9678.0,
1981-12-01,1140727.0,,,180627.0,,11328.0,
1982-01-01,1065677.0,,,164160.0,,7408.0,
1982-02-01,1067102.0,,,154115.0,,7249.0,
1982-03-01,1321472.0,,,178407.0,,8890.0,
1982-04-01,1196339.0,,,157449.0,,8367.0,
1982-05-01,1177383.0,,,159104.0,,8888.0,
1982-06-01,1052155.0,,,180280.0,,9759.0,
1982-07-01,1009072.0,,,173270.0,,9203.0,
1982-08-01,1043927.0,,,185235.0,,8890.0,
1982-09-01,843912.0,,,184470.0,,9242.0,
1982-10-01,771754.0,,,168304.0,,9559.0,
1982-11-01,887747.0,,,178788.0,,10777.0,
1982-12-01,925511.0,,,154325.0,,11723.0,
1983-01-01,908162.0,,,121229.0,,8655.0,
1983-02-01,807973.0,,,111077.0,,8812.0,
1983-03-01,1024813.0,,,122559.0,,10309.0,
1983-04-01,951338.0,,,114836.0,,9250.0,
1983-05-01,1052327.0,,,123957.0,,9975.0,
1983-06-01,998737.0,,,141593.0,,9859.0,
1983-07-01,963165.0,,,124966.0,,9897.0,
1983-08-01,966395.0,,,148161.0,,10620.0,
1983-09-01,877585.0,,,143872.0,,9949.0,
1983-10-01,894381.0,,,147452.0,,10208.0,
1983-11-01,966173.0,,,159915.0,,11617.0,
1983-12-01,1014566.0,,,143675.0,,12698.0,
1984-01-01,1019944.0,,,134319.0,,9342.0,
1984-02-01,919164.0,,,137958.0,,8683.0,
1984-03-01,980789.0,,,133455.0,,9187.0,
1984-04-01,1045571.0,,,113247.0,,9067.0,
1984-05-01,1180265.0,,,131727.0,,9817.0,
1984-06-01,1063832.0,,,117544.0,,9945.0,
1984-07-01,1078333.0,,,153313.0,,10720.0,
1984-08-01,1060832.0,,,143642.0,,11403.0,
1984-09-01,819612.0,,,133401.0,,10854.0,
1984-10-01,1005605.0,,,168008.0,,12746.0,
1984-11-01,1055710.0,,,130132.0,,13169.0,
1984-12-01,991783.0,,,130427.0,,14508.0,
1985-01-01,1175761.0,,,130388.0,,11555.0,
1985-02-01,1072151.0,,,101299.0,,10719.0,
1985-03-01,1215787.0,,,118103.0,,11233.0,
1985-04-01,1316343.0,,,113065.0,,12374.0,
1985-05-01,1385881.0,,,109368.0,,13231.0,
1985-06-01,1096822.0,,,97245.0,,10733.0,
1985-07-01,1216071.0,,,136391.0,,11188.0,
1985-08-01,1154185.0,,,111345.0,,10081.0,
1985-09-01,1081498.0,,,126296.0,,10621.0,
1985-10-01,1095099.0,,,142173.0,,12217.0,
1985-11-01,1057639.0,,,120472.0,,12962.0,
1985-12-01,1183674.0,,,130584.0,,15017.0,
1986-01-01,1252099.0,,,115645.0,,12330.0,
1986-02-01,1149334.0,,,103918.0,,11739.0,
1986-03-01,1251320.0,,,109834.0,,11177.0,
1986-04-01,1377415.0,,,120289.0,,12834.0,
1986-05-01,1320158.0,,,121612.0,,12171.0,
1986-06-01,1207224.0,,,114750.0,,11720.0,
1986-07-01,1269091.0,,,140718.0,,13454.0,
1986-08-01,1150518.0,,,129039.0,,12504.0,
1986-09-01,1197763.0,,,147121.0,,13699.0,
1986-10-01,1240547.0,,,147647.0,,15156.0,
1986-11-01,1135321.0,,,138070.0,,14456.0,
1986-12-01,1298125.0,,,156001.0,,17589.0,
1987-01-01,1159943.0,,,136884.0,,13432.0,
1987-02-01,1070024.0,,,119902.0,,13130.0,
1987-03-01,1207799.0,,,150506.0,,14388.0,
1987-04-01,1152249.0,,,133165.0,,14404.0,
1987-05-01,1094509.0,,,138352.0,,13177.0,
1987-06-01,1152119.0,,,165336.0,,14323.0,
1987-07-01,1067400.0,,,151328.0,,14570.0,
1987-08-01,905656.0,,,166217.0,,13909.0,
1987-09-01,987934.0,,,178983.0,,15624.0,
1987-10-01,978300.0,,,158426.0,,16824.0,
1987-11-01,1004858.0,,,160431.0,,16439.0,
1987-12-01,1096967.0,,,164408.0,,19057.0,
1988-01-01,969107.0,,,139394.0,,13856.0,
1988-02-01,1003833.0,,,141961.0,,13657.0,
1988-03-01,1091208.0,,,149759.0,,14687.0,
1988-04-01,1041237.0,,,132433.0,,13402.0,
1988-05-01,1111534.0,,,145308.0,,14713.0,
1988-06-01,1065111.0,,,143519.0,,14639.0,
1988-07-01,1023363.0,,,140544.0,,13082.0,
1988-08-01,1032284.0,,,155615.0,,12336.0,
1988-09-01,945636.0,,,138855.0,,10502.0,
1988-10-01,888015.0,,,161782.0,,10635.0,
1988-11-01,986677.0,,,164161.0,,12585.0,
1988-12-01,1041996.0,,,166066.0,,15659.0,
1989-01-01,1032627.0,,,146971.0,,11738.0,
1989-02-01,961821.0,,,136494.0,,11583.0,
1989-03-01,1106461.0,,,138236.0,,12565.0,
1989-04-01,1072846.0,,,125963.0,,11271.0,
1989-05-01,1146174.0,,,104209.0,,12439.0,
1989-06-01,950922.0,,,101801.0,,10934.0,
1989-07-01,882602.0,,,98527.0,,9031.0,
1989-08-01,1030818.0,,,116125.0,,9857.0,
1989-09-01,983663.0,,,119782.0,,10119.0,
1989-10-01,1068935.0,,,138521.0,,12180.0,
1989-11-01,1048034.0,,,136465.0,,13032.0,
1989-12-01,925096.0,,,121646.0,,14477.0,
1990-01-01,1088612.0,,,92807.0,,12714.0,
1990-02-01,893810.0,,,90019.0,,11519.0,
1990-03-01,1049045.0,,,79171.0,,12667.0,
1990-04-01,1097533.0,,,91739.0,,10934.0,
1990-05-01,1211668.0,,,99504.0,,11034.0,
1990-06-01,1161577.0,,,84244.0,,10937.0,
1990-07-01,1214380.0,,,97418.0,,11865.0,
1990-08-01,1200601.0,,,121386.0,,12222.0,
1990-09-01,1073793.0,,,110677.0,,11429.0,
1990-10-01,1173370.0,,,133663.0,,13933.0,
1990-11-01,1142646.0,,,116516.0,,14133.0,
1990-12-01,1116543.0,,,114093.0,,15822.0,
1991-01-01,1185848.0,,,116887.0,,13140.0,29570.0
1991-02-01,1078564.0,,,84045.0,,12170.0,27380.0
1991-03-01,1118599.0,,,92221.0,,12530.0,28190.0
1991-04-01,1318063.0,,,107375.0,,13210.0,29720.0
1991-05-01,1280815.0,,,104449.0,,13130.0,29540.0
1991-06-01,1011945.0,,,86148.0,,12610.0,28370.0
1991-07-01,1177470.0,,,114889.0,,14663.0,32990.0
1991-08-01,1097158.0,,,92352.0,,14470.0,32560.0
1991-09-01,987244.0,,,106297.0,,14329.0,32240.0
1991-10-01,1102734.0,,,124107.0,,16352.0,36790.0
1991-11-01,1036004.0,,,83838.0,,16670.0,37510.0
1991-12-01,1121870.0,,,115614.0,,19968.0,44930.0
1992-01-01,1143223.0,,,115052.0,,17074.0,40550.0
1992-02-01,1032182.0,,,106900.0,,15753.0,37410.0
1992-03-01,1142267.0,,,120184.0,,17701.0,42040.0
1992-04-01,1108850.0,,,99752.0,,18194.0,43210.0
