indice_tiempo,m_animales_vivos,m_carne_despojos_comestibles,m_pescados_crustaceos_moluscos_demas_invertebrados,m_leche_productos_lacteos_huevos_ave_miel_natural,m_demas_productos_origen_animal_ncp,m_plantas_vivas_productos_floricultura,m_hortalizas_plantas_raices_tuberculos_alimenticios,m_frutas_frutos_comestibles,m_cafe_te_yerba_mate_especias,m_cereales,m_productos_molineria_malta_almidon,m_semillas_frutos_oleaginosos_semillas_frutos,m_gomas_resinas_demas_jugos_emtractos_vegetales,m_materias_trenzables_demas_productos_origen_vegetal_ncp,m_grasas_aceites_animales_vegetales_,m_preparaciones_carne_pescado_crustaceos_moluscos,m_azucares_articulos_confiteria,m_cacao_preparaciones,m_preparaciones_base_cereales_leche_productos_pasteleria,m_preparaciones_hortalizas_frutas_otros_frutos_demas,m_preparaciones_alimenticias_diversas,m_bebidas_liquidos_alcoholicos_vinagre,m_residuos_desperdicios_industrias_alimentarias,m_tabaco_sucedaneos_tabaco_elaborados,m_sal_azufre_tierras_piedras_yesos_cales_cementos,m_minerales_metaliferos_escorias_cenizas,m_combustibles_minerales_aceites_minerales_prod_destilacion,m_productos_quimicos_inorganicos_compuestos_inorganicos,m_productos_quimicos_organicos,m_productos_farmaceuticos,m_abonos,m_extractos_curtientes_tintoreos_taninos_pigmentos,m_aceites_esenciales_resinoides_preparaciones_perfumeria,m_jabon_agentes_superficie_organicos_preparaciones_lavar,m_materias_albuminoideas_productos_base_almidon,m_polvoras_emplosivos_articulos_pirotecnia_fosforos,m_productos_fotograficos_cinematograficos,m_productos_diversos_industrias_quimicas,m_plastico_manufacturas,m_caucho_manufacturas,m_pieles_emcepto_peleteria_cueros,m_manufacturas_cuero_articulos_guarnicioneria_talabarteria,m_peleteria_confecciones_peleteria,m_madera_carbon_vegetal_manufacturas_madera,m_corcho_manufacturas,m_manufacturas_esparteria_cesteria,m_pastas_madera_otras_materias_fibrosas_celulosicas,m_papel_carton_manufacturas_pasta_celulosa_papel_carton,m_productos_editoriales_prensa_demas_industrias_graficas,m_seda,m_lana_pelo_fino_ordinario_hilados_tejidos_crin,m_algodon,m_demas_fibras_temtiles_vegetales_hilados_papel,m_filamentos_sinteticos_artificiales,m_fibras_sinteticas_artificiales_discontinuas,m_guata_fieltro_telas_sin_tejer_hilados_especiales,m_alfombras_demas_revestimientos_suelo_materia_temtil,m_tejidos_especiales_superficies_textiles,m_telas_impregnadas_recubiertas_revestidas,m_tejido_punto,m_prendas_complementos_accesorios_vestir_punto,m_prendas_complementos_accesorios_vestir_emcepto_punto,m_demas_articulos_textiles_confeccionados,m_calzado_polainas_articulos_analogos_partes,m_sombreros_demas_tocados_sus_partes,m_paraguas_sombrillas_quitasoles_bastones_bastones,m_plumas_plumon_preparados_flores_artificiales,m_manufacturas_piedra_fraguable_cemento,m_productos_ceramicos,m_vidrio_manufacturas,m_perlas_piedras_preciosas_semipreciosas_metales_preciosos,m_fundicion_hierro_acero,m_manufacturas_fundicion_hierro_acero,m_cobre_manufacturas_cobre,m_niquel_manufacturas,m_aluminio_manufacturas,m_plomo_manufacturas,m_cinc_manufacturas,m_estano_manufacturas,m_demas_metales_comunes_manufacturas,m_herramientas_utiles_articulos_cuchilleria,m_manufacturas_diversas_metal_comun,m_reactores_nucleares_calderas_maquinas,m_maquinas_aparatos_material_electrico_partes,m_vehiculos_material_para_vias_ferreas_similares_partes,m_vehiculos_automoviles_tractores_demas_vehiculos,m_aeronaves_vehiculos_espaciales_partes,m_barcos_demas_artefactos_flotantes,m_instrumentos_aparatos_optica_fotografia_cinematografias,m_aparatos_relojeria_partes,m_instrumentos_musicales_partes_accesorios,m_armas_municiones_partes_accesorios,m_muebles_mobiliario_medicoquirurgico_articulos_cama,m_juguetes_juegos_articulos_recreo_deporte_partes,m_manufacturas_diversas,m_objetos_arte_coleccion_antiguedades,m_resto,m_total
1990-01-01,0.706297,0.0,0.48878,0.048687,0.502612,0.046661,0.020556,1.265382,3.518465,0.0,0.038147,3.632142,1.743719,0.034796,0.777982,0.027601,0.052081,1.433604,0.061098,0.156238,0.765921,0.132282,0.302141,0.149413,4.582692,20.432328,33.157468,6.890307,58.561064,4.901996,5.167414,5.336397,0.579114,1.995193,0.503808,0.102076,1.774492,26.182915,12.547968,6.630523,0.033847,0.070951,0.177189,3.435825,0.505716,0.0,1.400368,3.239345,0.802765,0.002954,1.418527,0.02473,0.100809,0.018861,1.524992,1.959874,0.114005,0.080255,0.903942,0.083723,0.528686,0.019489,0.001013,0.018347,0.003757,0.007243,0.047707,2.521455,1.973203,0.514258,0.215539,0.0,13.441631,4.323253,0.491923,0.479005,0.052978,0.012095,0.46502,0.667365,2.169281,0.664562,59.788042,29.524974,0.134141,13.661857,0.167931,14.038034,9.752389,1.036061,5.182907,0.119521,0.39536,0.021942,0.044232,0.96363,1.154871,385.75274
1990-02-01,0.324734,0.025269,0.359346,0.084189,0.111319,0.0,0.015803,0.800611,0.83605,0.007197,0.04589,1.446541,0.266939,0.070012,0.250818,0.0,0.160965,1.008905,0.0,0.0573,0.127551,0.593542,0.125089,0.019572,1.169677,4.813037,23.049657,6.912291,33.068091,2.750257,0.787888,3.366681,1.20479,1.939172,0.866291,0.024028,2.679478,7.990148,8.583362,5.429565,0.010591,0.038745,0.342146,1.746467,1.052213,0.0,0.886386,3.164138,0.521781,0.005913,0.733639,0.001597,0.015889,0.027671,0.126133,4.38207,0.237507,0.167247,0.408085,0.160072,0.089914,0.015336,0.001224,0.020551,3.7e-05,0.026214,0.001766,0.47758,1.32904,0.555466,0.1219,0.0,11.959758,2.071976,0.270812,0.51102,0.003342,0.00258,0.246295,0.257198,1.08208,0.440286,37.710846,21.620224,0.0,8.605361,0.050572,0.005295,6.727519,0.617122,4.272494,0.059992,0.097436,0.062794,0.034621,0.572293,0.837926,226.159215
1990-03-01,0.290412,0.0,0.294944,0.128109,0.091894,0.040665,0.054821,0.647053,3.801992,0.0,0.001242,0.989184,0.320686,0.019178,0.428512,0.034106,0.265868,1.373075,0.125056,0.100831,0.33966,0.384647,0.344601,0.012034,2.256608,7.730219,20.715813,16.850356,36.357806,2.930509,1.428245,3.432504,0.51494,2.20127,0.803516,0.201728,1.893855,4.646554,11.706036,6.176995,0.210122,0.031798,0.262828,1.22417,0.459849,0.003492,0.518557,5.600366,0.756147,0.080089,1.194245,0.000129,0.310653,0.019291,0.123989,3.530755,1.13173,0.05293,0.6352,0.179746,0.166415,0.374315,0.0,0.072033,0.002009,0.139107,0.0,2.029789,1.590419,0.709293,0.100219,0.0,26.077353,3.3402,0.233737,0.840591,0.000482,0.076783,0.577654,0.166178,1.794543,0.68875,50.123424,22.911806,0.002214,16.284427,0.013728,12.141506,7.660395,0.963673,4.661259,0.060681,0.266474,0.00012,0.03147,0.521362,2.003139,302.887158
1990-04-01,0.233745,0.008325,0.224112,0.078662,0.053508,0.009326,0.046932,0.895881,2.696764,0.047903,0.012057,0.739479,0.414355,0.041438,0.832659,0.044276,0.03984,1.508624,0.0,0.072328,0.13676,0.032213,0.295242,0.232944,1.281927,6.434088,31.343969,11.025841,29.753345,3.127355,1.66514,3.694871,0.608189,2.10469,0.382448,0.022514,1.435733,6.906294,12.559312,6.040752,0.069466,0.070868,0.206146,0.401371,0.164503,0.001966,1.01251,4.055956,0.684735,0.020724,1.333431,0.003844,0.121223,0.029656,0.373555,2.138297,0.050955,0.223049,0.43279,0.101851,0.298482,0.010492,0.0,0.072078,2.3e-05,0.007317,0.00026,0.941848,0.851356,0.66457,0.028965,0.0,14.424106,2.51409,0.563211,0.522107,0.019026,0.053395,0.448109,0.442267,1.075042,0.838964,50.157709,20.413032,0.003746,17.707572,0.94178,7.110459,8.769218,0.316097,6.455779,0.014953,0.369912,0.0,0.030411,0.736186,1.074005,276.457304
1990-05-01,1.018527,0.293017,0.250779,0.132816,0.047346,0.003243,0.1605,1.381408,3.226848,0.00092,0.0,0.82373,0.672965,0.029141,0.136542,0.04426,0.076826,2.065692,0.000214,0.047867,0.652038,0.073191,0.365156,0.027102,1.380285,14.185373,23.792119,6.610531,32.521603,3.869636,0.75518,4.214702,0.864153,1.089813,0.569416,0.050943,1.394507,9.907088,11.007886,6.923222,0.030898,0.055359,0.251998,0.938911,0.213402,0.022073,0.482848,3.218404,0.971368,0.031169,0.931032,0.007176,0.325603,0.041822,0.262654,1.79846,0.237929,0.083191,0.501578,0.09613,0.17949,0.040212,0.0,0.140578,0.001578,0.057875,0.0,1.128578,1.951673,0.816098,0.102148,0.0,16.199283,2.36502,0.736113,0.944228,0.002859,1.35691,0.251132,0.815478,1.897428,0.793548,57.047411,32.179514,0.058834,15.174058,0.0291,6.073433,10.15098,1.04428,6.24459,0.04674,0.281764,0.062985,0.058278,0.549718,2.182987,302.133491
1990-06-01,0.356405,0.482832,0.11119,0.093335,0.368741,0.015838,0.4335,1.226476,3.948337,0.347472,0.030116,0.678159,0.335357,0.005084,0.168931,0.0,0.062685,2.662336,0.048121,0.088261,0.371147,0.307853,0.260148,0.025624,0.953625,10.63374,24.508918,6.86536,27.268143,3.331054,2.869526,2.739069,0.440039,1.706682,0.379214,0.001155,1.221909,14.723224,11.800912,5.808032,0.031071,0.022387,0.247771,1.530754,0.289585,0.004422,0.177971,3.76328,1.000899,0.012949,1.043252,9e-06,0.074232,0.052593,0.179795,1.844202,0.090189,0.412908,0.582321,0.29429,0.242854,0.112873,0.000842,0.190071,0.000262,0.180798,0.0,1.283149,1.530508,0.699382,0.059683,0.0,8.494452,1.652288,0.408517,0.822582,0.005946,0.018039,0.064549,0.143775,1.234601,0.661999,43.835037,18.208282,0.0,17.470018,0.007655,18.25773,6.853725,0.693748,3.022298,0.1173,0.478755,0.06857,0.067145,0.576279,0.88715,267.684292
1990-07-01,0.554025,0.55141,0.282054,0.011829,0.09396,0.067296,0.696658,1.739311,6.664449,0.308141,0.060436,1.139267,0.222594,0.030798,0.512801,0.017195,0.193605,3.702111,0.097006,0.228885,0.637653,0.152076,0.230923,0.108192,1.582439,11.353647,23.859977,13.153996,42.771526,3.935041,2.967666,5.614918,0.65743,2.631361,0.82511,0.025378,1.866172,13.254995,12.652828,6.565602,0.058902,0.041279,0.136617,1.423559,0.365977,0.000241,0.82313,4.200337,1.046659,0.046633,1.315338,0.0,0.282405,0.049296,0.582421,4.013985,0.233606,0.325978,0.538251,0.470617,0.226983,0.300894,0.004632,0.092563,0.010995,0.180131,0.048965,1.555069,1.542442,0.868707,0.136825,0.0,13.262956,1.452077,0.40438,0.829901,0.003612,0.08615,0.099733,0.717252,2.383884,0.61765,57.00358,23.343831,0.051707,13.131501,0.428813,0.00937,7.404735,1.045804,4.664701,0.08285,0.102691,0.020022,0.039706,0.975234,2.304008,313.410346
1990-08-01,0.403386,0.943164,0.42922,0.313717,0.110127,0.234235,0.51166,2.618943,5.003929,0.940518,0.002377,1.928515,0.590865,0.040992,0.589992,0.285442,0.105737,3.093234,0.069769,0.155717,0.710908,0.627392,0.143109,0.034735,3.446261,9.297239,21.988868,6.144376,45.205976,3.187751,1.566503,5.670447,0.644846,3.316851,0.44996,0.037935,1.856425,14.504911,16.236967,7.29772,0.018913,0.123497,0.055796,2.001673,0.584141,0.000113,0.476777,5.549956,0.912304,0.016281,1.990861,0.001882,0.135052,0.248331,3.130935,2.484596,0.483074,0.596512,0.781863,0.352665,0.273106,0.016898,0.0,0.292443,0.019102,0.088135,0.158727,1.262783,1.751636,1.12029,0.109857,0.0,13.597284,2.36163,0.326634,1.099541,0.00715,0.087275,0.135343,0.341487,2.78055,0.898212,51.086439,20.321828,0.048366,16.193582,0.063401,0.009897,8.715118,0.958296,4.335629,0.078312,0.464217,0.043467,0.039508,1.017437,1.486123,312.275644
1990-09-01,0.68396,0.543872,0.435267,0.18352,0.134122,0.109931,0.400095,2.4109,4.33613,0.625172,0.070472,1.670101,0.507836,0.000506,0.518131,0.030285,0.095705,1.778794,0.044272,0.122228,0.720338,0.639869,0.300835,0.101522,2.255894,11.615636,21.729083,6.442383,48.157837,4.368871,3.965619,6.317955,0.730618,2.590819,0.734209,0.064004,2.785737,18.28007,15.820596,7.824535,0.063595,0.072309,0.127381,1.441514,0.614185,0.01323,1.140344,5.112191,1.581983,0.007924,1.440418,0.0,0.13979,0.103801,4.374314,3.830102,0.475042,0.522672,0.640713,0.406471,0.356506,0.054918,0.0011,0.343019,0.004915,0.266908,0.029816,0.896191,1.909147,1.115818,0.106239,0.0,11.37147,1.414464,0.876494,0.830004,0.012146,0.05136,0.159068,0.54513,1.706551,0.919187,49.452894,24.836732,0.006978,15.174257,0.315907,1.037715,8.814673,1.256145,6.136507,0.082336,0.321887,0.006867,0.026338,0.991091,2.562653,326.249139
1990-10-01,0.26189,1.084358,0.401992,0.636598,0.174363,0.10764,1.243231,3.303276,2.803076,1.203704,0.059736,1.712284,0.507876,0.054642,0.712472,0.333458,0.413063,1.532095,0.021397,1.025767,0.598852,0.813312,0.24092,1.040457,2.236989,9.957588,26.045798,36.122059,56.685856,4.015966,2.307398,8.97576,1.032083,3.60958,0.889812,0.277925,3.51294,17.028682,20.9882,10.366591,0.200656,0.082744,0.193646,2.484149,1.223906,0.035133,1.008807,7.405487,1.162153,0.03846,2.921888,0.001344,0.181856,0.08061,1.156065,4.599455,0.051546,0.326988,0.610181,0.96264,0.374612,0.269115,0.0119,1.069887,0.011049,0.130616,0.104371,1.615863,1.54845,1.67404,0.072849,0.0,14.96199,4.017079,0.367942,0.843781,1.077378,0.072838,0.122584,0.437487,2.025238,0.781197,62.480669,31.209492,0.0,19.619713,5.552726,1.37074,11.230238,1.10775,6.139822,0.198534,0.852007,0.0,0.069695,2.095889,2.264933,424.849874
